"","score","text"
"1",0,"last night debate got violin syrian four year old blood flowing face"
"2",-1,"marcelsardo axis evil diddleysquatt"
"3",0,"list latinos call attn california"
"4",0,"watch live potus hitler campaign trail hillarious miami"
"5",-1,"mark cuban hater teamcavuto painfully obvious hes promise politi career truth"
"6",0,"joecostello make debate without account libya realalexjones"
"7",3,"today woke feel like nastywoman feel good thank way imwither"
"8",0,"huffpostwomen nastywoman tarastrong alyssamilano"
"9",0,"smoklerjill know granma exclusive new interview chelseaclinton elect"
"10",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"11",-1,"jaecreitch think stop bring russia putin shes moron sold uranium"
"12",-1,"thehill shit sherlock definitely scorch earth especially american earth"
"13",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"14",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"15",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"16",0,"wikileak release email part"
"17",0," woman vote thisnastywomanvotes p ctl tntweeters un"
"18",0,"elecciones presidencial de estadosunidos el significado de una farsa"
"19",0,"anitadwhite think anyone vote woman hillarious prolife debate h"
"20",0,"live michelle campaign hillarious arizona strongertogether"
"21",1,"twright evil hillarious enough enough h judgment day come nov th will vote tatiana"
"22",3,"theamybrenneman think clean decent respect vote guy strongertogether vo"
"23",0,"beingkimmietoo twitterpoll call woman song came mind first debate"
"24",0,"wikileak release email part"
"25",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"26",0,"iemvee sayin bruh white suge knight presidentialelection"
"27",0,"wikileak release email part"
"28",0,"wikileak release email part"
"29",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"30",0,"centrommolina nobels en eu apoyan hillaryclintonnecesitamos un president que alentará políticas que permitan florecer la cien"
"31",-2,"realdjtrumpteam agree direct relationship tweet mind health compulsive lie diso"
"32",0,"vote imwither"
"33",1,"chatrevolve look say little mr right"
"34",-4," shock video proof hate police kill mutilate pigs hillaryforprison h"
"35",0,"never quite unless youre stuck roof top mortor fire benghazi debate debatenight"
"36",0," woman vote thisnastywomanvotes p ctl tntweeters un"
"37",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"38",-1,"bothers say hillarious fact strong ms universe hater leader think"
"39",-1,"robyns huge lie told debate"
"40",-1,"trumpmissouri now make fun women bodies dont fooled ppl crook everything said public l"
"41",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"42",0,"thecoli"
"43",0,"influence elect truth now concept debatenight elect assange"
"44",0,"trumpsterfire debatenight kellyanneconartist imwither nastywomenvote"
"45",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"46",0,"wikileak release email part"
"47",-1,"wakeupamerica im concern action action may say debatenight"
"48",0,"wikileak release email part"
"49",-1,"klsouth hillarious response billion miss correct furniture stole state dept debate"
"50",0,"watch live potus hitler campaign trail hillarious miami"
"51",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"52",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"53",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"54",0,"grrrgraphics cartoon original ebay candidata kaine clown creepyclowncraze vp"
"55",0,"watch live potus hitler campaign trail hillarious miami"
"56",1,"chatrevolve look say little mr right"
"57",0,"watch live potus hitler campaign trail hillarious miami"
"58",1,"ripjournalism alsmithdinner toostupid miss defeat like facilitated soviet sympathizers"
"59",0,"karinatelesur en el último debate presidencial hubo límiteshillaryclinton y se acusaron mutuamente de títeres pup"
"60",0,"politweecs wasnt answer question read prepared answer"
"61",0,"riggeddebate riggedsystem voterfraud"
"62",1,"barackobama worstpresident time endorse corruptpresident timeunitedisoa"
"63",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"64",0,"wikileak release email part"
"65",0,"daystotrump wrong hillaryclintona eyes woman say well end report"
"66",1,"chatrevolve look say little mr right"
"67",0,"make debate without account libya"
"68",-3,"teamtrumpco outlets laraza judge wife link nastywoman reveal fake racism attack woman millennial"
"69",0,"lucidhurricane us code us code disqualified hold public office us trumptapes podes"
"70",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"71",0," woman vote thisnastywomanvotes p ctl tntweeters"
"72",1,"kootice like uh yeah yeah secured agencies said debatenight"
"73",0,"hillarious elect politi"
"74",0,"hillarious elect politi"
"75",0,"wikileak release email part"
"76",1,"stephiegilley stabs democrat voter back pick tpp fracking advocate set white house"
"77",-1,"think s next tv show biggest loser stopwhining"
"78",0,"aktweet debate poll hillarious hillaryforprison elect trumptrain trumppence"
"79",1,"evil hillarious enough enough h judgment day come nov th will vote tatiana"
"80",0,"wikileak release email part"
