"score","text"
0,"ultimate lovingkindness meditation challenge ucan manage whim mind u must immediately levelup demigod"
2,"say accept elect outcome win right share view troopel"
0,"hmmmm sure im gonna pick one lol badhombre hillarycl"
0,"fathertim speak volume"
0,"na wataniana kwenye dhifa huko new york bongoswaggz"
0,"jeanchrétien estime enlève la dignité du service public"
-1,"thewrap let imagine day rejects elect result "
1,"just finished watch alsmithdinner obama mccain obamamitt way way better funnier"
2,"can defeat russia can say shes great leader"
0,"full monologue roast al smith dinner"
0,"allrepublicans cspan air live johnstown pa rallies pm et philadelphia ohio michigan florida nj"
-1,"shareblue new video star little rascals women shareblue"
-1,"thewrap let imagine day rejects elect result "
0,"use enhancer call preparation thank hillaryclintonthe joke"
1,"a law let make clear world want presiden retweet"
-1,"thewrap let imagine day rejects elect result "
1,"priceless"
-1,"kharyp imwithher blm mass incarceration damage"
1,"one day everyone reflect time wonder katiehopkins piersmorgan nigelfarage relevant dontbuythesun"
-1,"thewrap let imagine day rejects elect result "
1,"event nuclearwar usa russia win plz vote poll"
0,"nicholasturgeon common onlyifiwin"
0,"excellent save day idiot via culturepub"
0,"people charge screw doj"
0,"eleccionesusa pavadas de un otario días de la última página"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
-2,"hitgrinderz voter concerned voter fraud stopsoros riggedsystem"
1,"jaimetennille receives ellis island medal honor natl ethnic coalition organizations w rosa parks ali"
0,"ninadobrev hilaryclintonforpresident hilaryclinton imwither"
0,"cher meldet sich mit neuer konzertserie classiccher zurück und twittert über skandale"
0,"nothingscaresmebut ass become presiden access nuclear weapon"
1,"newsnationtv accept clear elect result say"
0,"presidentialelection"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
-1,"utilisera deplorable title sound cool good punk band namethe deplorable"
0,"ernstgraf full al smith dinner alsmith"
-3,"shame women met harsh doubt one man word supersedes women"
0,"la font hand markfonts new comic san font typo"
1,"just catching rd presidentialdebatee think came top hilaryclinton"
-1,"devastates catholic event dinner realalexjones report infowars watch video now"
0,"weve seen name silvio berlusconi john foot"
0,"uselection"
0,"nickanderson circus trainclick link manishmalhotra cartoon debate"
1,"banwahhabism donaldtrumpdriven campaign manage say fivepoint plan defeat islam isis hillar"
